dtxsid,refchem_agonist,refchem_antagonist,auc_agonist,er_class,chemical,ESR1_pmi,ESR2_pmi,ESRRA_pmi,ESRRB_pmi,ESRRG_pmi,ESR1_coc,ESR2_coc,ESRRA_coc,ESRRB_coc,ESRRG_coc,n_chem
DTXSID6031380,,,0.0207,0.5,Glycoluril,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,132
DTXSID8022828,,,0.0207,0.5,Cladribine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1613
DTXSID2032344,,,0.0203,0.5,Chlorethoxyfos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID9021138,,,0.0201,0.5,p-Phenylenediamine,-0.006003325380891518,0.0,0.0,0.0,0.0,3,0,0,0,0,1560
DTXSID9022607,,,0.0201,0.5,Anastrozole,0.434180040435922,0.19489820652849693,0.20493640821143927,0.10664103635730288,0.0,443,6,1,1,0,1968
DTXSID5025021,,,0.0199,0.5,Dicyclohexyl phthalate,0.1374377245020045,0.0,0.0,0.0,0.0,3,0,0,0,0,163
DTXSID1034187,,active,0.0199,0.5,Tamoxifen,0.5967332277114349,0.0,0.21712008959162182,0.15393098981466757,0.0,5130,0,7,13,0,17119
DTXSID8020466,,,0.0196,0.5,"N,N'-Diethylthiourea",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12
DTXSID4044581,,,0.0193,0.5,2-tert-Butyl-4-ethylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID5048182,,,0.0191,0.5,Cyclohexyl phenyl ketone,0.20488153892503025,0.0,0.0,0.0,0.0,1,0,0,0,0,15
DTXSID7020267,,,0.0191,0.5,Chlordane,0.0911397137530182,0.0,0.31747256752711406,0.0,0.0,10,0,3,0,0,1257
DTXSID0032493,,,0.0188,0.5,Triadimenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,170
DTXSID7027047,,,0.0185,0.5,"4-(2,6,6-Trimethylcyclohex-2-en-1-yl)-3-methylbut-3-en-2-one",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID2047303,,,0.0185,0.5,"N-((1S,4R)-4-(3-(4-Fluorophenoxy)phenoxy)-2-cyclopenten-1-yl)-N-hydroxyurea",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID9032379,,,0.0183,0.5,Dithiopyr,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID2020137,,,0.0183,0.5,Benzidine,0.1098902571134607,0.0,0.0,0.0,0.0,10,0,0,0,0,957
DTXSID3026691,,,0.0182,0.5,Triacetin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,339
DTXSID4032459,,,0.0181,0.5,Phorate,0.018916847199820445,0.0,0.0,0.0,0.0,1,0,0,0,0,344
DTXSID9020453,,,0.0181,0.5,Dieldrin,0.15851776542785798,0.1363211185427826,0.0,0.0,0.0,25,2,0,0,0,1364
DTXSID6043915,,,0.0177,0.5,Hydroxyprogesterone caproate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,424
DTXSID0024266,,,0.0176,0.5,Pirimiphos-methyl,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,365
DTXSID6020939,,,0.0176,0.5,Nitrilotriacetic acid,0.014687589975797253,0.0836054230482324,0.0,0.0,0.0,4,1,0,0,0,1508
DTXSID9047338,,,0.0176,0.5,BD22Q5WK25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID1040112,,,0.0173,0.5,Ethyl heptanoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,19
DTXSID4038924,,,0.0173,0.5,Hexyl salicylate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11
DTXSID7042356,,,0.0171,0.5,2-(3-Phenylpropyl)Pyridine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13
DTXSID6024834,,,0.0167,0.5,Cinnamaldehyde,-0.09535548608819812,0.0,0.0,0.0,0.0,1,0,0,0,0,2358
DTXSID2034590,,,0.0164,0.5,Fenamidone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,34
DTXSID4034576,,,0.0164,0.5,2-Bromo-4'-hydroxyacetophenone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID3032389,,,0.0162,0.5,Farnesol,-0.04359483243855936,0.0,0.0,0.14766882760768046,0.0,1,0,0,1,0,986
DTXSID9041237,,,0.0161,0.5,alpha-Terpinene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,616
DTXSID9025110,,,0.0159,0.5,"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID5047879,,,0.0157,0.5,2-Hydroxybenzophenone,0.22185921133795114,0.0,0.0,0.0,0.0,8,0,0,0,0,143
DTXSID8024284,,,0.0156,0.5,1-Methoxy-2-propanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,229
DTXSID3020257,,,0.0155,0.5,Catechol,0.12874426810456252,0.11326477287058112,0.0,0.0,0.0,107,9,0,0,0,10562
DTXSID2032558,,,0.0154,0.5,Kresoxim-Methyl,0.04626869745623045,0.0,0.0,0.0,0.0,1,0,0,0,0,217
DTXSID2025478,,,0.0152,0.5,Isopropyl acetate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,250
DTXSID5020493,,,0.0148,0.5,Dimethyl hydrogen phosphite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,44
DTXSID7029904,,,0.0146,0.5,"1,1,2,2-Tetrahydroperfluoro-1-decanol",0.1717282113189822,0.0,0.0,0.0,0.0,6,0,0,0,0,214
DTXSID4040713,,,0.0144,0.5,Octyl gallate,0.09408937751250646,0.0,0.0,0.0,0.0,2,0,0,0,0,207
DTXSID2036112,,,0.0142,0.5,"1H-Imidazole-1-ethanol, 2-(8-heptadecenyl)-4,5-dihydro-",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20
DTXSID7020392,,,0.014,0.5,Diallyl phthalate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,69
DTXSID7040788,,,0.0139,0.5,2-tert-Butyl-4-methoxyphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,75
DTXSID0040707,,,0.0138,0.5,4-Pentylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID1023998,,,0.0138,0.5,Cypermethrin,0.0,0.0,0.0,0.08853126527821671,0.0,0,0,0,1,0,2670
DTXSID9020293,,,0.0137,0.5,2-Chloroacetophenone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,109
DTXSID0047377,,,0.0137,0.5,Dtxcid8027377,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID3047558,,,0.0134,0.5,Tridecafluorohexylethyl methacrylate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9
DTXSID1024598,,,0.013,0.5,Benzyl salicylate,0.20545873999968473,0.0,0.0,0.0,0.0,4,0,0,0,0,79
DTXSID4020458,,,0.0125,0.5,Chlorpyrifos,0.03104841000037366,0.09321756326757108,0.0,0.042089843591056324,0.0,19,4,0,1,0,5838
DTXSID5031131,,,0.0125,0.5,Dipentyl phthalate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,178
DTXSID7022413,,,0.0124,0.5,Propenylguaiacol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID3047344,,,0.0124,0.5,Cariporide mesylate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,75
DTXSID1041639,,,0.0123,0.5,Sodium m-Xylene-4-sulfonate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID8024157,,,0.0122,0.5,Isopropalin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID5021126,,,0.0122,0.5,Phenothiazine,-0.06802521115065777,0.0,0.0,0.0,0.0,1,0,0,0,0,1488
DTXSID2025135,,,0.0121,0.5,4-Nitro-M-xylene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID5035589,,,0.0121,0.5,Disiquonium chloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID0023907,,,0.012,0.5,Benzo[b]fluoranthene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,531
DTXSID3037094,,active,0.0118,0.5,4-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,0.43954323357427255,0.28203121222476013,0.0,0.23725941684135984,0.0,100,3,0,1,0,218
DTXSID8042052,,,0.0117,0.5,Indene,0.03095780363966343,0.0,0.0,0.10312731923992047,0.0,7,0,0,1,0,2088
DTXSID1025300,,,0.0117,0.5,2-Ethylhexyl diphenyl phosphate,0.09050523684313012,0.0,0.0,0.0,0.0,1,0,0,0,0,103
DTXSID0024002,,,0.0117,0.5,Fenpropathrin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,280
DTXSID8032675,,,0.0115,0.5,Sulprofos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID5023950,,,0.0115,0.5,Carbosulfan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1978
DTXSID7029320,,,0.0114,0.5,2-Ethylhexyl 4-(dimethylamino)benzoate,0.14704784414056168,0.0,0.0,0.0,0.0,2,0,0,0,0,88
DTXSID0023878,,,0.0112,0.5,Anthracene,0.0,0.0,0.0,0.02150977487442006,0.0,0,0,0,1,0,8257
DTXSID8044888,,,0.011,0.5,Barium 2-ethylhexanoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID5022510,,,0.0109,0.5,4-Chloro-2-methylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,71
DTXSID3034456,,,0.0107,0.5,Cinmethylin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11
DTXSID4034497,,,0.0105,0.5,Metconazole,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,65
DTXSID6021030,,,0.0102,0.0,N-Nitrosodiphenylamine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,66
DTXSID4026684,,,0.00983,0.0,"Octanal, 2-(phenylmethylene)-",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,37
DTXSID2020688,,,0.00973,0.0,Hexachlorocyclopentadiene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,188
DTXSID6025068,,,0.00964,0.0,Dihexyl phthalate,0.12063833119018379,0.0,0.0,0.0,0.0,1,0,0,0,0,62
DTXSID5040708,,,0.00955,0.0,4-Hexylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID7022253,,,0.00944,0.0,Resmethrin,0.055915053385445904,0.0,0.0,0.06958197105541016,0.0,17,0,0,1,0,3674
DTXSID2026496,,,0.00943,0.0,alpha-Terpinyl acetate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,140
DTXSID1038298,,,0.00941,0.0,1-Hydroxypyrene,0.04972033074913537,0.0,0.0,0.0,0.0,5,0,0,0,0,1109
DTXSID6035152,,,0.00936,0.0,"1-(Hydroxymethyl)-5,5-dimethylhydantoin",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8
DTXSID5034303,,,0.00936,0.0,Fluroxypyr-meptyl,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,24
DTXSID2040731,,,0.00932,0.0,Diisopropyl phthalate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16
DTXSID7026811,,,0.00908,0.0,Benzenethiol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,414
DTXSID6025436,,,0.00897,0.0,Oxyquinoline sulfate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID1032488,,,0.00886,0.0,Thiazopyr,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID6022422,,,0.00885,0.0,"4,4'-Methylenedianiline",0.09408937751250646,0.0,0.0,0.0,0.0,2,0,0,0,0,207
DTXSID9020247,,,0.00877,0.0,Carbaryl,0.031771064245034265,0.0,0.0,0.0,0.0,4,0,0,0,0,1158
DTXSID4048199,,,0.00848,0.0,4-Butoxyaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID80859230,,,0.00842,0.0,Amylcinnamaldehyde,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8
DTXSID0027222,,,0.00827,0.0,Terpinolene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,333
DTXSID4021975,,,0.00816,0.0,Diphenylamine,0.05094171721679417,0.0,0.0,0.0,0.0,4,0,0,0,0,861
DTXSID9041653,,,0.00793,0.0,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,38
DTXSID9041491,,,0.00786,0.0,Phenylallyl alcohol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13
DTXSID0044571,,,0.00783,0.0,3-Isopropylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID2021997,,,0.0078,0.0,N-(2-Aminoethyl)piperazine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51
DTXSID1034210,,,0.00775,0.0,Prodiamine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID0025816,,,0.00766,0.0,Oxalic Acid,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2761
DTXSID8031863,,,0.00751,0.0,Perfluorononanoic acid,0.06308811985368218,0.0,0.0,0.0,0.0,8,0,0,0,0,1491
DTXSID3024104,,,0.00745,0.0,Fluoranthene,0.026843447156997637,0.0,0.0,0.0,0.0,7,0,0,0,0,2220
DTXSID8023927,,,0.00744,0.0,1-Bromo-4-phenoxybenzene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,37
DTXSID1024126,,,0.00739,0.0,Heptachlor Epoxide B,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12
DTXSID7047306,,,0.00739,0.0,"2-(4-(7-hydroxy-2,3-dihydro-1H-inden-4-yloxy)-3,5-dimethylphenylamino)-2-oxoacetic acid",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID0021832,,,0.00737,0.0,"N,N-Dimethyl-p-toluidine",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,66
DTXSID4047628,,,0.00737,0.0,Dicyclohexyl disulfide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6
DTXSID0025101,,,0.00715,0.0,3-Dimethylaminophenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9
DTXSID9041289,,,0.0071,0.0,Tetradecyltrimethylammonium chloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,168
DTXSID5044572,,,0.007,0.0,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",0.20964151007966528,0.0,0.0,0.0,0.0,5,0,0,0,0,97
DTXSID5024263,,,0.0069,0.0,Phosphoric Acid,-0.0869759468369559,0.0,0.0,0.0,0.0,4,0,0,0,0,7260
DTXSID9048194,,,0.00686,0.0,Heptanophenone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6
DTXSID4022529,,,0.00684,0.0,Methylparaben,0.14442469145080236,0.1517574351149153,0.0,0.0,0.0,17,2,0,0,0,1063
DTXSID1044564,,,0.00669,0.0,"2,6,10-Trimethyl-2,6,10-triazaundecane",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID0048185,,,0.00617,0.0,Apomorphine hydrochloride hemihydrate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,60
DTXSID4024359,,,0.00613,0.0,"2,4,5-Trichlorophenol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,138
DTXSID9048190,,,0.00607,0.0,Methyl abietate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6
DTXSID7021788,,,0.00604,0.0,4-Nitro-3-(trifluoromethyl)phenol,0.1266806088489629,0.0,0.0,0.0,0.0,1,0,0,0,0,56
DTXSID4034150,inactive,,0.00598,0.0,Haloperidol,0.07130106806743339,0.06994973635819374,0.0,0.07679016913913389,0.0,56,5,0,3,0,10621
DTXSID2021993,,,0.00597,0.0,Dibenzofuran,-0.017855063293066138,0.0,0.0,0.0,0.0,5,0,0,0,0,3105
DTXSID8041379,,,0.00583,0.0,"2,6-DI-Tert-butyl-4-methoxyphenol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16
DTXSID6021824,,,0.0058,0.0,Dichlorophen,0.17075968623322219,0.0,0.0,0.0,0.0,2,0,0,0,0,60
DTXSID0021414,,,0.00568,0.0,Tris(2-ethylhexyl) phosphate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,170
DTXSID0020107,,,0.00559,0.0,Aspartame,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,864
DTXSID9047590,,,0.00552,0.0,Phenethyl benzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11
DTXSID2021151,,,0.00543,0.0,2-Phenylphenol,0.1987948491153628,0.22132783297975314,0.0,0.0,0.2948867881036826,19,3,0,0,1,567
DTXSID5032315,,,0.00534,0.0,Kathon 930,0.06858683936707959,0.0,0.0,0.0,0.0,1,0,0,0,0,149
DTXSID9026974,,,0.00528,0.0,"2,4-Di-tert-pentylphenol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID7027833,,,0.00519,0.0,2-Ethyl-6-methylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16
DTXSID0047371,,,0.00507,0.0,1-{3-[1-({5-[(2-Fluorophenyl)ethynyl]furan-2-yl}carbonyl)piperidin-4-yl]phenyl}methanamine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID5021332,,,0.00506,0.0,Thiram,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,560
DTXSID0048181,,,0.00506,0.0,4-tert-Butylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8
DTXSID7025427,,,0.00499,0.0,Acetone cyanohydrin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,56
DTXSID7042273,,,0.00488,0.0,"2,4-Diisopropylphenol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID2021947,,,0.00481,0.0,1-Tridecanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,27
DTXSID3020621,,,0.00468,0.0,Sumi-alpha,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID6034972,,,0.00465,0.0,Thymol,-0.04225951054830525,0.0,0.0,0.0,0.0,3,0,0,0,0,2761
DTXSID3021645,,,0.00457,0.0,Octanoic acid,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1842
DTXSID0021094,,,0.00457,0.0,"4,4'-Oxydianiline",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,123
DTXSID4027525,,,0.00456,0.0,Potassium 2-ethylhexanoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID3044203,,,0.00454,0.0,Pioglitazone hydrochloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,194
DTXSID0038887,,,0.00451,0.0,Fluorescein,0.0047442074892742,0.0,0.0,-0.05111407116878224,0.0,63,0,0,1,0,28062
DTXSID0020286,,,0.00428,0.0,3-Chloro-4-methylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40
DTXSID1020439,,,0.00424,0.0,"2,4-Dichlorophenol",0.07984927101134569,0.0,0.0,0.0,0.0,9,0,0,0,0,1322
DTXSID3021483,,,0.0042,0.0,Phenylacetaldehyde,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,585
DTXSID7021863,,,0.00416,0.0,Diethyl malonate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,161
DTXSID0037495,,,0.00394,0.0,Deisopropylatrazine,0.04765254774633911,0.0,0.0,0.0,0.0,1,0,0,0,0,212
DTXSID8021199,,,0.00391,0.0,Pebulate,0.14236183217701526,0.0,0.0,0.0,0.0,1,0,0,0,0,43
DTXSID3023897,,,0.0039,0.0,Triadimefon,0.0682922168602119,0.0,0.0,0.0,0.0,2,0,0,0,0,314
DTXSID2021602,,,0.00386,0.0,Palmitic Acid,-0.01848194472884551,0.02632332621947158,0.0,0.0,0.0,20,3,0,0,0,12222
DTXSID8040222,,,0.00375,0.0,Trifloxysulfuron-sodium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10
DTXSID0047741,,,0.00373,0.0,Dibenzothiophene,0.0010686142449059174,0.0,0.0,0.0,0.0,2,0,0,0,0,930
DTXSID2021105,,,0.00362,0.0,Pentachloronitrobenzene,0.026255126555830923,0.0,0.0,0.0,0.0,1,0,0,0,0,304
DTXSID8021856,,,0.00355,0.0,4-Butylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,59
DTXSID2027466,,,0.00355,0.0,"3,4-Epoxycyclohexylmethyl 3,4-epoxycyclohexanecarboxylate",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6
DTXSID4021977,,,0.00352,0.0,4-Ethylphenol,0.11239231181960722,0.1732693729452356,0.0,0.0,0.0,4,1,0,0,0,333
DTXSID8047553,,,0.00337,0.0,Perfluoroundecanoic acid,0.11781092229250466,0.0,0.0,0.0,0.0,5,0,0,0,0,393
DTXSID1044487,,,0.00331,0.0,Methyltrioctylammonium chloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,212
DTXSID8020591,,,0.00327,0.0,Ethyl methylphenylglycidate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8
DTXSID2026525,,,0.00325,0.0,2-Tert-butylphenol,0.13633035433456078,0.0,0.0,0.0,0.2937461252702294,9,0,0,0,1,578
DTXSID0047539,,,0.00322,0.0,"1,6-Hexanediol dibenzoate",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID2021238,,,0.00321,0.0,Resorcinol,-0.014857815115151338,0.0,0.0,0.0,0.0,4,0,0,0,0,2381
DTXSID9032537,,,0.00313,0.0,Didecyldimethylammonium chloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,243
DTXSID2022678,,,0.00307,0.0,Bicalutamide,0.20254065813706387,0.12969825347907352,0.0,0.12205348960897684,0.0,45,2,0,1,0,1518
DTXSID6026799,,,0.00306,0.0,Cyanuric chloride,0.05535063174347035,0.0,0.0,0.0,0.0,2,0,0,0,0,387
DTXSID8027793,,,0.00292,0.0,N-(Cyclohexylthio)phthalimide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID6020220,,,0.00291,0.0,Tert-Butylhydroquinone,-0.003917713228544833,0.0,0.0,0.0,0.0,2,0,0,0,0,1008
DTXSID1032484,,,0.00268,0.0,Temephos,0.09237762061362319,0.0,0.0,0.0,0.0,5,0,0,0,0,579
DTXSID8020620,,,0.00263,0.0,Fenthion,0.006925744192017098,0.0,0.0,0.0,0.0,1,0,0,0,0,421
DTXSID2047351,,,0.00262,0.0,"(2R)-2-(((3R)-3-(1,3-Benzodioxol-5-yl)-3-(((6-methoxy-2-naphthyl)sulfonyl)amino)propanoyl)amino)-3-(4-(((2R,6S)-2,6-dimethylpiperidinyl)methyl)phenyl)-N-isopropyl-N-methylpropanamide hydrochloride",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,47
DTXSID4022288,,,0.00257,0.0,4-Hexyloxyaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID2041389,,,0.00257,0.0,2-Acetylnaphthalene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,49
DTXSID5023322,,,0.00255,0.0,Mifepristone,0.230340684600306,0.1599892516836915,0.0,0.1009365242756404,0.0,150,8,0,2,0,4647
DTXSID6047103,,,0.00252,0.0,Sodium stearyl sulfate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID3032464,,,0.0025,0.0,Profenofos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,327
DTXSID8042399,,,0.00244,0.0,Sodium abietate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID8029159,,,0.00239,0.0,"2,6,8-Trimethyl-4-nonanol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID1021166,,,0.00231,0.0,Piperonyl butoxide,-0.02902089628488314,0.0,0.0,0.0,0.0,2,0,0,0,0,1512
DTXSID9026500,,,0.0022,0.0,Lilial,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,43
DTXSID6036467,,,0.00215,0.0,"Disodium 4,4'-Bis(2-sulfonatostyryl)biphenyl",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID1041265,,,0.0021,0.0,2-Hexyl-1-decanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10
DTXSID0026252,,,0.0021,0.0,Triphenyl phosphite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1210
DTXSID6047288,,,0.0021,0.0,Jejyykzpvieeas-mwlzsumnsa-M,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID0021888,,,0.00202,0.0,2-Pentanone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,327
DTXSID7032345,,,0.00201,0.0,Chlorhexidine diacetate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,221
DTXSID7041413,,,0.00195,0.0,"Carvone, (-)-",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,760
DTXSID8034580,,,0.00195,0.0,Ethofumesate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,31
DTXSID2040151,,,0.00189,0.0,Imidurea,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,59
DTXSID4040343,,,0.00188,0.0,Benzyl bromoacetate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID8021062,,,0.00171,0.0,N-Nitrosopyrrolidine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,212
DTXSID8047185,,,0.00166,0.0,Isopentyl benzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID7025506,,,0.00166,0.0,Linolenic Acid,0.022027331863355232,-0.015786553181018008,0.0,0.0,0.0,23,1,0,0,0,8045
DTXSID0023296,,,0.00154,0.0,Methylene Blue,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,14372
DTXSID6020430,,,0.00153,0.0,"1,2-Dichlorobenzene",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,562
DTXSID2021943,,,0.00139,0.0,2-Undecanone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,229
DTXSID9021427,,,0.00138,0.0,Urethane,-0.019004424538210416,0.04220996333635304,0.0,0.0,0.0,10,2,0,0,0,6237
DTXSID4020870,,,0.00113,0.0,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",0.03518528524160779,0.0,0.0,0.0,0.0,2,0,0,0,0,536
DTXSID0035748,,,0.00109,0.0,"cis-1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,59
DTXSID1021087,,,0.00109,0.0,Oxazepam,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,597
DTXSID4021006,,,0.000967,0.0,N-Nitroso-N-methylurea,0.24654035216627607,0.2077646681816214,0.0,0.0,0.0,63,5,0,0,0,1301
DTXSID5037028,,,0.000761,0.0,Cetrimonium Bromide,-0.1515263773899786,0.0,0.0,0.0,0.0,1,0,0,0,0,6074
DTXSID1041267,,,0.000721,0.0,1-Ethoxy-2-propanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID5020366,,,0.000543,0.0,Cyproterone acetate,0.1687433585111456,0.0,0.0,0.0,0.0,19,0,0,0,0,861
